"Dataset Index","Dose","N","Effect"
"ID166",0,107,2
"ID166",2,112,3
"ID166",20,106,1
"ID166",250,106,15
"ID169",0,348,104
"ID169",2,362,181
"ID169",10,367,184
"ID169",50,396,257
"ID169",250,372,298
"ID170",0,363,18
"ID170",2,354,18
"ID170",10,370,37
"ID170",50,349,45
"ID170",250,334,200
"ID171",0,328,97
"ID171",2,354,179
"ID171",10,362,181
"ID171",50,383,214
"ID171",250,350,301
"ID172",0,340,16
"ID172",2,339,12
"ID172",10,355,32
"ID172",50,328,43
"ID172",250,293,192
"ID178",0,50,18
"ID178",1.3,33,11
"ID178",13.2,25,14
"ID178",26.5,35,30
"ID178",47.5,21,21
"ID178",64.6,11,11
"ID181",0,125,24
"ID181",17.5,199,51
"ID181",63.3,99,30
"ID181",112,98,31
"ID181",169.5,123,35
"ID188",0,100,0
"ID188",12,50,16
"ID188",25,50,17
"ID188",50,49,6
"ID189",0,100,0
"ID189",12,50,39
"ID189",25,50,38
"ID189",50,49,4
"ID192",0,60,1
"ID192",2,45,25
"ID192",5.1,74,70
"ID192",9.6,59,58
"ID199",190,10,0
"ID199",375,10,0
"ID199",750,10,0
"ID199",1500,9,9
"ID199",3000,9,0
"ID200",190,10,0
"ID200",375,10,0
"ID200",750,10,0
"ID200",1500,10,8
"ID200",3000,9,1
"ID201",0,49,0
"ID201",1250,50,0
"ID201",2500,50,2
"ID201",5000,49,4
"ID202",0,49,0
"ID202",1250,50,0
"ID202",2500,50,10
"ID202",5000,49,11
"ID203",0,49,0
"ID203",1250,50,0
"ID203",2500,50,7
"ID203",5000,49,41
"ID204",0,227,51
"ID204",100,202,49
"ID204",1000,195,45
"ID204",5000,207,58
"ID206",0,42,3
"ID206",60.7,42,5
"ID206",202,42,8
"ID206",607,36,21
"ID207",0,186,22
"ID207",0.28,71,14
"ID207",0.75,72,24
"ID207",2.11,73,28
"ID208",0,72,2
"ID208",0.225,75,2
"ID208",1.13,73,1
"ID208",5.63,73,2
"ID208",11.3,69,16
"ID208",22.5,70,62
"ID209",0,104,1
"ID209",7.4,80,2
"ID209",40.2,80,8
"ID209",102.6,80,41
"ID210",0,104,0
"ID210",7.6,80,1
"ID210",41.2,80,8
"ID210",102.7,80,41
"ID211",0,127,30
"ID211",0.01,63,26
"ID211",0.06,64,17
"ID211",1.3,64,27
"ID211",5.6,64,42
"ID212",0,156,0
"ID212",2,159,0
"ID212",5.6,153,2
"ID212",14.3,140,94
"ID214",0,45,4
"ID214",5,65,10
"ID214",20,65,25
"ID214",100,65,62
"ID224",0,62,0
"ID224",0.01,68,2
"ID224",0.052,68,18
"ID224",0.1,80,52
"ID225",0,76,6
"ID225",0.01,70,1
"ID225",0.052,65,6
"ID225",0.1,57,30
"ID226",0,40,0
"ID226",4,30,14
"ID226",8,30,26
"ID226",16,57,49
"ID228",0,49,2
"ID228",0.32,49,4
"ID228",1.6,50,4
"ID228",8,49,5
"ID228",40,49,17
"ID229",0,90,1
"ID229",0.04,40,0
"ID229",0.4,40,0
"ID229",4,39,9
"ID235",0,46,1
"ID235",8.19,46,5
"ID235",16.4,46,13
"ID235",32.8,46,15
"ID238",0,24,0
"ID238",7,24,0
"ID238",15,24,3
"ID238",30,24,5
"ID240",0,15,0
"ID240",4,30,5
"ID240",8,29,26
"ID240",16,16,16
"ID241",0,15,0
"ID241",4,30,1
"ID241",8,29,5
"ID241",16,16,13
"ID242",0,15,0
"ID242",4,30,0
"ID242",8,29,3
"ID242",16,16,6
"ID247",0,35,1
"ID247",400,32,0
"ID247",3000,31,8
"ID247",8000,20,3
"ID252",0,49,2
"ID252",0.4,50,20
"ID252",1.3,50,38
"ID252",5,49,44
"ID253",0,50,5
"ID253",0.6,49,18
"ID253",1.9,50,38
"ID253",6.6,50,47
"ID254",0,50,5
"ID254",0.4,50,2
"ID254",1.3,50,7
"ID254",5,50,14
"ID255",0,50,5
"ID255",0.6,50,10
"ID255",1.9,50,12
"ID255",6.6,50,16
"ID256",0,50,0
"ID256",0.4,50,1
"ID256",1.3,50,3
"ID256",5,50,5
"ID257",0,50,2
"ID257",0.6,50,2
"ID257",1.9,50,4
"ID257",6.6,50,10
"ID258",0,50,1
"ID258",0.6,50,4
"ID258",1.9,50,10
"ID258",6.6,50,34
"ID259",0,50,3
"ID259",0.6,50,2
"ID259",1.9,50,9
"ID259",6.6,50,13
"ID262",0,44,0
"ID262",9.67,42,6
"ID262",29,44,8
"ID262",58,41,15
"ID263",0,49,0
"ID263",9.67,48,0
"ID263",29,48,4
"ID263",58,48,3
"ID264",0,36,0
"ID264",5.7,40,4
"ID264",11.4,38,12
"ID264",22.9,34,24
"ID265",0,36,0
"ID265",5.7,40,1
"ID265",11.4,38,9
"ID265",22.9,34,19
"ID266",0,36,0
"ID266",5.7,40,0
"ID266",11.4,38,0
"ID266",22.9,34,3
"ID267",0,36,0
"ID267",5.7,40,1
"ID267",11.4,38,1
"ID267",22.9,34,3
"ID268",0,36,0
"ID268",5.7,40,0
"ID268",11.4,38,1
"ID268",22.9,34,3
"ID270",0,43,1
"ID270",900,50,4
"ID270",4500,47,5
"ID270",22500,46,16
"ID271",0,43,0
"ID271",900,50,0
"ID271",4500,47,0
"ID271",22500,46,6
"ID272",0,43,1
"ID272",900,50,1
"ID272",4500,47,5
"ID272",22500,46,8
"ID278",0,24,2
"ID278",3.04,28,1
"ID278",31.5,26,3
"ID278",363,21,11
"ID279",0,24,1
"ID279",0.96,28,0
"ID279",9.8,26,4
"ID279",107,21,15
"ID280",0,29,0
"ID280",1.1,32,1
"ID280",10.5,28,3
"ID280",107,25,16
"ID281",0,60,5
"ID281",25,60,47
"ID281",50,60,55
"ID281",90,60,59
"ID281",125,60,47
"ID281",315,60,53
"ID282",0,50,8
"ID282",60,50,12
"ID282",125,50,20
"ID282",265,49,8
"ID292",4,16,14
"ID292",8,16,15
"ID292",15,15,15
"ID292",30,1,1
"ID293",0,50,0
"ID293",1.36,28,14
"ID293",6.82,30,16
"ID293",13.6,30,22
"ID295",0,61,0
"ID295",0.051,60,3
"ID295",0.17,62,17
"ID295",0.51,38,31
"ID295",1.7,24,14
"ID308",0,84,1
"ID308",0.35,45,19
"ID308",0.76,49,28
"ID308",1.59,49,28
"ID310",0,85,1
"ID310",0.72,48,1
"ID310",1.43,45,7
"ID310",2.99,50,6
"ID316",0,86,1
"ID316",1,50,0
"ID316",20,50,3
"ID316",70,50,8
"ID319",0,34,1
"ID319",17,50,4
"ID319",34,49,6
"ID319",114,48,31
"ID320",0,34,1
"ID320",18,48,4
"ID320",37,48,21
"ID320",118,49,45
"ID321",0,35,0
"ID321",17,49,2
"ID321",34,46,2
"ID321",114,49,38
"ID326",0,70,1
"ID326",3,38,8
"ID326",6.4,27,0
"ID326",12.8,31,0
"ID327",0,70,1
"ID327",3,38,7
"ID327",6.4,27,1
"ID327",12.8,31,1
"ID333",0,20,0
"ID333",0.00247,21,2
"ID333",0.00741,21,0
"ID333",0.02471,11,2
"ID333",0.07413,19,7
"ID333",0.24711,20,16
"ID336",0,92,37
"ID336",0.88,48,21
"ID336",3.66,44,28
"ID336",14.63,49,44
"ID337",0,73,5
"ID337",0.88,39,6
"ID337",3.66,42,11
"ID337",14.63,44,39
"ID341",0,6,0
"ID341",25,11,6
"ID341",50,16,12
"ID341",125,19,18
"ID342",0,65,1
"ID342",0.13,62,5
"ID342",0.58,64,9
"ID342",2.9,64,12
"ID342",8.3,31,6
"ID344",0,11,0
"ID344",0.1,27,0
"ID344",1,29,1
"ID344",10,26,5
"ID346",0,9,0
"ID346",0.19,9,8
"ID346",0.38,10,10
"ID346",1.9,3,3
"ID350",0,46,13
"ID350",2.25,49,21
"ID350",8.25,48,19
"ID350",33.6,49,40
"ID352",0,26,0
"ID352",0.17,22,3
"ID352",0.45,28,7
"ID352",1.1,22,10
"ID352",2.75,29,15
"ID352",6.88,29,2
"ID355",0,53,10
"ID355",0.051,54,10
"ID355",0.144,53,12
"ID355",0.361,51,18
"ID358",0,50,0
"ID358",2.62,50,0
"ID358",9.56,49,2
"ID358",42.13,49,30
"ID361",0,99,20
"ID361",100,95,35
"ID361",300,100,38
"ID361",600,97,53
"ID362",0,49,1
"ID362",50,50,3
"ID362",150,50,8
"ID362",450,46,7
"ID364",0,90,4
"ID364",100,90,2
"ID364",300,90,8
"ID364",600,90,13
"ID365",0,60,5
"ID365",5.1,60,5
"ID365",21.9,60,9
"ID365",46.5,60,17
"ID374",0,40,0
"ID374",0.1,40,6
"ID374",0.5,40,14
"ID374",2.5,40,14
"ID374",12.5,40,14
"ID375",0,71,9
"ID375",5.7,65,18
"ID375",11.4,47,15
"ID375",17.1,45,11
"ID376",0,57,2
"ID376",1.07,58,28
"ID376",3.13,59,49
"ID376",8.77,57,56
"ID380",0,75,27
"ID380",1860,75,25
"ID380",7450,75,31
"ID380",37250,75,40
"ID381",0,80,10
"ID381",9,48,12
"ID381",14,48,14
"ID381",30,48,22
"ID383",0,15,0
"ID383",0.5,15,0
"ID383",1.6,15,0
"ID383",5,15,6
"ID383",16,15,11
"ID383",54,15,10
"ID384",0,15,10
"ID384",0.034,15,4
"ID384",0.34,15,14
"ID384",3.4,15,14
"ID384",34,15,15
"ID397",0,10,0
"ID397",12.4,9,2
"ID397",41.3,10,5
"ID397",124,10,9
"ID398",0,10,0
"ID398",12.4,10,3
"ID398",41.3,10,7
"ID398",124,10,9
"ID400",0,27,15
"ID400",0.23,44,19
"ID400",2.68,39,23
"ID400",13.31,44,41
"ID401",0,26,8
"ID401",0.22,35,9
"ID401",2.64,36,9
"ID401",13.44,37,25
"ID402",0,10,0
"ID402",62.5,10,0
"ID402",200,10,9
"ID402",625,8,8
"ID403",0,49,4
"ID403",6.25,49,19
"ID403",20,48,32
"ID403",62.5,50,42
"ID403",200,50,43
"ID403",625,79,69
"ID404",0,10,0
"ID404",6.25,10,0
"ID404",20,10,1
"ID404",62.5,10,9
"ID404",200,10,7
